path,label
face_dataset\raora\954eb6947918c239d577bd9b81554ef4.jpg-1.jpg,raora
face_dataset\kronii\2f051295e95bea4525bcae24ab216b59.jpg-1.jpg,kronii
face_dataset\irys\9c64c22a2dfbe07500ca1f98157148d3.png-1.jpg,irys
face_dataset\shiori\b9e7fdd0a71cfedda6ff6f24fd9ad7e2.jpg-2.jpg,shiori
face_dataset\mococo\1746b3887687dc4638e688ec49b355aa.png-2.jpg,mococo
face_dataset\fauna\00e091edff7e37ebd5111a700b5f1a31.jpg-1.jpg,fauna
face_dataset\gura\09dfc42c7bec46100425da88f3c0f96a.png-1.jpg,gura
face_dataset\kronii\9b1f4c89a01dbcace54992e195026e48.jpg-2.jpg,kronii
face_dataset\fuwawa\5a0b15fbed9dec75d1982fe7f6222808.jpg-3.jpg,fuwawa
face_dataset\fauna\3845a707d463ddb7ca8af8069e91b7a5.jpg-1.jpg,fauna
face_dataset\shiori\91c77669dfe8e685c361ea49b0fff99e.jpg-1.jpg,shiori
face_dataset\biboo\f0250336a3c4003873e8f62461f84f44.jpg-1.jpg,biboo
face_dataset\irys\71bb5fc31ed939bbdb5e792e36824fcf.jpg-1.jpg,irys
face_dataset\erb\455f5acead95890325ff3809e2c90acb.jpg-6.jpg,erb
face_dataset\bae\005e120bb5f709dc775fc3033a5d86dc.png-1.jpg,bae
face_dataset\fauna\2023e469a91814a98211c87ad3ff3830.png-3.jpg,fauna
face_dataset\shiori\de2cbe0946b4c32d637c675656f2a3a3.jpg-1.jpg,shiori
face_dataset\fauna\0c510c207b7fff9ac51ed81d6bed0add.jpg-1.jpg,fauna
face_dataset\raora\817e4cce3842f99ed62012f81993af94.png-1.jpg,raora
face_dataset\gigi\015462333e3fc70889750f6149813a57.jpg-4.jpg,gigi
face_dataset\mococo\9f73744353275b8fd061813d121d5051.png-1.jpg,mococo
face_dataset\shiori\00ac5c06cd4645006c24103b4358c576.jpg-1.jpg,shiori
face_dataset\fauna\7a33424ab62642d13caa8a9cb7c61e17.jpg-1.jpg,fauna
face_dataset\ame\4b62993031ad7c50b36832061c38646d.jpg-1.jpg,ame
face_dataset\sana\93fd3c2ee034f9823fd05ce2d5b15338.jpg-1.jpg,sana
face_dataset\biboo\ff48b49df3a5d8492e876ead3aaaa082.jpg-1.jpg,biboo
face_dataset\calli\1a22edc13a7ac0b1c08c26f828bbf3cb.jpg-1.jpg,calli
face_dataset\kronii\cc46b875e283242be1ad0a7cbc609ed0.jpg-1.jpg,kronii
face_dataset\raora\dd87024f2d1e06ea9bb0a14d446ae010.png-1.jpg,raora
face_dataset\kiara\e683acbaca215269f1bd368467d17606.jpg-1.jpg,kiara
face_dataset\gura\964fd4ce59bf980ba4f2f13ad26bc946.png-1.jpg,gura
face_dataset\shiori\13e0bc706d41577e7506b3aa84c94105.jpg-1.jpg,shiori
face_dataset\calli\34be9157bde65dcb9bbd8a24bfd02340.jpg-1.jpg,calli
face_dataset\mumei\efe74856ae237a5a8c00a730415248eb.png-1.jpg,mumei
face_dataset\raora\dd4b5534ad2904f40535b6095b6ea109.jpg-12.jpg,raora
face_dataset\shiori\cdc1d30fd3da85eacd78ff51ba2614df.jpg-1.jpg,shiori
face_dataset\mumei\2cce03dccc1e7801ca9b792f91d47db7.jpg-1.jpg,mumei
face_dataset\erb\72b57602bcf3b463bf404905f88430a1.png-1.jpg,erb
face_dataset\mococo\af48996fe31f20fb80d9e5032031cf90.jpg-4.jpg,mococo
face_dataset\erb\15e63a7aa4f22f4caa0d6cbdd277966f.jpg-2.jpg,erb
face_dataset\shiori\ad8f80d348176ae690b5f70d794809cf.jpg-1.jpg,shiori
face_dataset\erb\047c62169b12e194f2a009164794fbda.jpg-2.jpg,erb
face_dataset\biboo\0fc4cb6460ec7559f5320272897daf1c.jpg-1.jpg,biboo
face_dataset\ame\03cf5893e1bae3a173a9c4ed477d80fe.jpg-1.jpg,ame
face_dataset\ceci\07c1085f120a83b404392df0e92611b5.jpg-1.jpg,ceci
face_dataset\mumei\f5018a34d2bed8dbf18980bfd487b34c.png-1.jpg,mumei
face_dataset\shiori\cd670d6ab4d1029c944af3d90f19ef2e.jpg-1.jpg,shiori
face_dataset\mumei\a6e91c6446724cb19e5b6b6929801231.jpg-1.jpg,mumei
face_dataset\kronii\d51f4812c37b8b3a04e1037567ece949.jpg-1.jpg,kronii
face_dataset\gura\01090f023cec443feba5d1f468f57a0b.png-1.jpg,gura
face_dataset\mumei\ccd1b1b0c9e9b62f6f18bc551f053f51.jpg-2.jpg,mumei
face_dataset\mumei\f83bdc5bf6f858e9d21b0a57a5527ba3.jpg-1.jpg,mumei
face_dataset\ceci\3d411a14d705b9e2b422407e32d10979.png-1.jpg,ceci
face_dataset\bae\c14c08ce2e05a202c6e3798e32231a77.jpg-1.jpg,bae
face_dataset\biboo\1579831e2e1ef9b7071069e17da98411.jpg-1.jpg,biboo
face_dataset\gura\87009d427450b8edfc95cd4340ea418e.png-1.jpg,gura
face_dataset\mococo\b7750b0d6babeddcf83e11d74e496475.jpg-3.jpg,mococo
face_dataset\raora\80e0a35671b3fcf75781b6795828320b.jpg-2.jpg,raora
face_dataset\kiara\69a7aa913c3ebd38d9730f6615fbec64.jpg-11.jpg,kiara
face_dataset\mumei\16082ab2e2f9fffbe3593809170a0932.png-1.jpg,mumei
face_dataset\biboo\c46a7ca4504568b0535a333fcac2bf14.jpg-3.jpg,biboo
face_dataset\bae\1f31a1ef3a3f7e55d896b1f39851360b.jpg-1.jpg,bae
face_dataset\ceci\04e9cdf46eed0c8e9a47e1e9be942b56.png-8.jpg,ceci
face_dataset\ina\d47f5dcc861a271b90ea75b59a9fee36.png-1.jpg,ina
face_dataset\mococo\49134991816d498a8ab5166376b38091.jpg-1.jpg,mococo
face_dataset\nerissa\4c971920665cea79e9c80ec761acdc2b.jpg-1.jpg,nerissa
face_dataset\kiara\59dde1e4d037f23c75c1987e465259af.png-2.jpg,kiara
face_dataset\gigi\df71c4909d8e244de1c6c8394f8a44e4.jpg-1.jpg,gigi
face_dataset\sana\ea8774e7dc7fda67e1ba64aa7d907d02.jpg-1.jpg,sana
face_dataset\fuwawa\789bcd1eee4521282ea01e8fa976b282.png-1.jpg,fuwawa
face_dataset\erb\db95a08ee311836eecdb2be2d65fdc7f.png-1.jpg,erb
face_dataset\ceci\09dffa9d939772efdf0b03678a7dd161.jpg-1.jpg,ceci
face_dataset\erb\4a19d8bf05ed22fd37c2790f79c5175f.jpg-4.jpg,erb
face_dataset\kiara\876f83ec8a6498c873ba1228dd004c33.jpg-1.jpg,kiara
face_dataset\nerissa\e53d3ed3cfab7cb34fe66fbf65c07a0c.jpg-1.jpg,nerissa
face_dataset\fauna\7729ff4a70a756f150bf1084d39f4d44.png-1.jpg,fauna
face_dataset\fuwawa\380eebe272b45e5cd2fe7acd120ccbcc.jpg-2.jpg,fuwawa
face_dataset\fauna\f78d95269b722704ab3a214b7d468df5.jpg-1.jpg,fauna
